pergunta,resposta
"Qual o propósito principal do comando `route`?","Exibir / manipular a tabela de roteamento IP do kernel."
"No comando `route`, o que a opção `-A family` ou `--family=family` faz?","Usa a família de endereços especificada (ex: `inet` para IPv4, `inet6` para IPv6)."
"No comando `route`, o que a opção `-F` faz?","Opera na tabela de roteamento FIB (Forwarding Information Base) do kernel. Este é o comportamento padrão."
"No comando `route`, o que a opção `-C` faz?","Opera no cache de roteamento do kernel."
"No comando `route`, o que a opção `-v` faz?","Seleciona a operação verbosa, mostrando mais detalhes."
"No comando `route`, o que a opção `-n` faz?","Mostra endereços numéricos em vez de tentar resolver nomes de hosts simbólicos. Útil para diagnosticar problemas de DNS."
"No comando `route`, o que a opção `-e` faz?","Usa o formato do `netstat` para exibir a tabela de roteamento."
"No comando `route`, o que a opção `-ee` faz?","Gera uma linha muito longa com todos os parâmetros da tabela de roteamento, em formato `netstat`."
"No comando `route`, qual a função da palavra-chave `del`?","Deletar uma rota da tabela de roteamento."
"No comando `route`, qual a função da palavra-chave `add`?","Adicionar uma nova rota à tabela de roteamento."
"No comando `route`, o que o parâmetro `-net target` especifica?","Que o alvo (`target`) da operação é uma rede."
"No comando `route`, o que o parâmetro `-host target` especifica?","Que o alvo (`target`) da operação é um host específico."
"No comando `route`, para que serve o parâmetro `netmask NM`?","Especifica a máscara de rede (`NM`) a ser usada ao adicionar uma rota de rede."
"No comando `route`, para que serve o parâmetro `gw GW`?","Define que os pacotes devem ser roteados através de um gateway (`GW`). O gateway deve ser alcançável primeiro."
"No comando `route`, para que serve o parâmetro `metric M`?","Define o campo de métrica na tabela de roteamento como `M`. Usado por daemons de roteamento para calcular o custo de uma rota."
"No comando `route`, para que serve o parâmetro `mss M`?","Define o Tamanho Máximo do Segmento TCP (MSS) para conexões sobre esta rota para `M` bytes. Usado para otimizar o MTU."
"No comando `route`, para que serve o parâmetro `window W`?","Define o tamanho da janela TCP para conexões sobre esta rota para `W` bytes. Raramente usado."
"No comando `route`, para que serve o parâmetro `irtt I`?","Define o tempo de ida e volta inicial (irtt) para conexões TCP sobre esta rota para `I` milissegundos. Raramente usado."
"No comando `route`, o que a opção `reject` faz?","Instala uma rota de bloqueio, que forçará a falha na busca de uma rota. Usado para mascarar redes antes de usar a rota padrão."
"No comando `route`, para que serve o parâmetro `dev If`?","Força a rota a ser associada com um dispositivo (`If`) específico."
"Na saída do comando `route`, o que a coluna `Destination` representa?","A rede de destino ou o host de destino."
"Na saída do comando `route`, o que a coluna `Gateway` representa?","O endereço do gateway ou '*' se nenhum estiver definido."
"Na saída do comando `route`, o que a coluna `Genmask` representa?","A máscara de rede para a rede de destino. É '255.255.255.255' para um host e '0.0.0.0' para a rota padrão."
"Na saída do comando `route`, o que a flag `U` significa?","A rota está ativa (up)."
"Na saída do comando `route`, o que a flag `H` significa?","O alvo é um host."
"Na saída do comando `route`, o que a flag `G` significa?","A rota utiliza um gateway."
"Na saída do comando `route`, o que a flag `R` significa?","Rota restabelecida para roteamento dinâmico."
"Na saída do comando `route`, o que a flag `D` significa?","Rota instalada dinamicamente por um daemon ou redirecionamento."
"Na saída do comando `route`, o que a flag `M` significa?","Rota modificada por um daemon de roteamento ou redirecionamento."
"Na saída do comando `route`, o que a flag `A` significa?","Rota instalada pelo `addrconf`."
"Na saída do comando `route`, o que a flag `C` significa?","Entrada de cache."
"Na saída do comando `route`, o que a flag `!` significa?","É uma rota de rejeição (reject route)."
"Na saída do comando `route`, o que a coluna `Metric` representa?","A 'distância' até o alvo, geralmente em saltos (hops). Não é muito usada por kernels recentes."
"Na saída do comando `route`, o que a coluna `Iface` representa?","A interface pela qual os pacotes para esta rota serão enviados."
"No comando `route`, qual a função do parâmetro `mod`?","Modifica uma rota existente. Usado para alterar parâmetros como o gateway ou a métrica de uma rota já estabelecida."
"No comando `route`, qual a função do parâmetro `dyn`?","Instala uma rota dinâmica. Geralmente usado por daemons de roteamento e raramente de forma manual."
"No comando `route`, qual a função do parâmetro `reinstate`?","Reinstala uma rota, útil para restaurar rotas dinâmicas que foram perdidas."
"No comando `route`, o que a opção `-N` faz?","Não resolve nomes de hosts para a saída, mas mostra os endereços IP numéricos. É similar a `-n`, mas focado em não usar o cache de DNS reverso."
"No comando `route`, o que a opção `-4` faz?","Força o uso da família de endereços IPv4. É um atalho para `-A inet`."
"No comando `route`, o que a opção `-6` faz?","Força o uso da família de endereços IPv6. É um atalho para `-A inet6`."
"Na saída do comando `route`, o que a coluna `Ref` representa?","Número de referências a esta rota. No kernel Linux moderno, esta coluna não é usada e sempre mostrará 0."
"Na saída do comando `route`, o que a coluna `Use` representa?","Contagem de buscas (lookups) para a rota. Para rotas de cache (-C), indica o número de vezes que o cache foi usado. Para rotas FIB (-F), indica o número de vezes que a rota foi usada."
